docid	diff	firstpub	author	title
nyp.33433082346028_1	-0.0864302218057	1914	Lee, Alice Louise	A freshman co-ed
nyp.33433076075534_1	-0.0597517070147	1922	MacConnell, Sarah Warder	One
uc1.32106002093380_2	-0.245956168995	1928	Burroughs, Edgar Rice	Three Martian novels: Thuvia, maid of Mars. The chessmen of Mars. The master mind of Mars.
mdp.39015008871231_1	0.0863129235787	1936	Halldór Laxness	Salka Valka : | a novel of Iceland / | $f: translated by F.H. Lyon.
uc1.$b312361_1	-0.319317013269	1929	Rea, Lorna, Mrs	Six Mrs. Greenes, | $c: by Lorna Rea.
inu.32000001384124_1	0.210739822327	1911	Benson, Robert Hugh	The dawn of all
uc2.ark+=13960=t6445k297_2	0.487667764187	1910	Dehan, Richard	One braver thing
nyp.33433074801238_1	0.102147496228	1918	Baily, Waldron	When the cock crows
pst.000027847633_1	0.195990050162	1932	Huxley, Aldous	Brave new world : | a novel by Aldous Huxley.
nyp.33433074850367_1	0.926991498243	1921	Haggard, H. Rider	She and Allan
uc2.ark+=13960=t8mc8t512_1	-0.552128501686	1921	Lydston, G. Frank	Trusty five-fifteen
nyp.33433076062763	-0.464712097603	1911	Stevens, Isaac Newton	An American suffragette
uc1.$b312780_0	-0.195474747407	1935	Wentworth, Patricia	Blindfold / | $c: by Patricia Wentworth.
nyp.33433076089493_1	-0.0868081578964	1921	Graeve, Oscar	The brown moth
uc1.$b318364_1	0.424421966624	1926	Farre��re, Claude	Useless hands, | $c: by Claude Farre��re ... Authorized translation from the French by Elisabeth Abbott.
uc2.ark+=13960=t2794143s_0	-0.1224977814	1917	Burroughs, Edgar Rice	A princess of Mars
uc2.ark+=13960=t6445k297_0	-0.00112878560751	1910	Dehan, Richard	One braver thing
mdp.39015011249755_0	-0.364403251266	1938	Asimov, Isaac	Before the Golden Age; | a science fiction anthology of the 1930s.
uc1.$b137584_1	1.72556268408	1927	Lloyd, J. H	Trevor of Nant Gwynant, | $c: by J.H. Lloyd.
wu.89004698288_1	0.0897118044855	1912	Hamilton, Mary Agnes	Less than the dust
mdp.39015047656130_1	-0.000290147272775	1910	Gorky, Maksim	Malva and other tales
uc1.$b85973_1	-0.111994907617	1926	Beresford, J. D	Almost pagan, | $c: by J.D. Beresford ...
uc2.ark+=13960=t3pv6d04m_1	-0.246832127962	1920	Smith, Harriet L	Agatha's aunt
uc1.32106014315219_1	0.50425885025	1931	Charteris, Leslie	The last hero.
uc1.b4027940	-0.0607859173977	1921	Metternich-Winneburg, Pauline Clementine Marie Walburga S??ndor von Szlavnicza	The days that are no more;
mdp.39015011249755_1	-0.270558815408	1938	Asimov, Isaac	Before the Golden Age; | a science fiction anthology of the 1930s.
mdp.39015001407249_0	-1.12205832005	1936	��apek, Karel	War with the newts. | $c: Translated by M. & R. Weatherall. With an introd. by Lewis Gannett.
mdp.39015003686816_0	-0.0359726969061	1912	Freeman, R. Austin (Richard Austin)	The mystery of 31, New inn, | $c: by R. Austin Freeman.
pst.000013933951_0	0.215990846867	1920	Lindsay, David	A voyage to Arcturus
njp.32101069166427_0	-0.203685145621	1911	Greene, Sarah Pratt McLean	The long green road
mdp.39015028694761_0	0.951505322093	1926	O'Flaherty, Liam	Spring sowing, | $c: by Liam O'Flaherty.
yale.39002001241638	0.0552237786681	1921	Haynes, Elizabeth Ross	Unsung heroes
mdp.39015002725631	-0.267424303551	1915	Ferber, Edna	Emma McChesney & co
mdp.39015015233953_1	-0.46567531617	1914	Gillmore, Inez Haynes	Angel Island / | $c: by Inez Haynes Gillmore ; introduction by Ursula K. Le Guin.
mdp.39015071426368	-0.30450675233	1939	Trotter, Melvin E. (Melvin Earnest)	These forty years / | $c: by Melvin E. Trotter ; foreword by G. Campbell Morgan ; an appreciation by Harry Ironside.
njp.32101067627099_0	-0.416499694794	1921	Anderson, Nephi	Dorian
uc1.$b703632	0.383838298488	1926	Morand, Paul	Europe at love,
mdp.39015063918158_0	0.178199492538	1925	Fletcher, J. S. (Joseph Smith)	False scent, | $c: by J. S. Fletcher.
mdp.39015011249755_3	-0.525615505639	1938	Asimov, Isaac	Before the Golden Age; | a science fiction anthology of the 1930s.
uc1.b3324205_1	0.317385272	1913	Cullum, Ridgwell	The night-riders;
uc2.ark+=13960=t3kw58021_0	-0.650292877611	1911	Beresford, J. D	The Wonder
uc2.ark+=13960=t9h41k936_0	-0.0908427653239	1912	Serviss, Garrett Putman	The second deluge
mdp.39015019402885_1	0.0356207011743	1934	Mitchell, James Leslie	Gay hunter
