volid	author	title	firstpub	prewarmean	postwarmean	unweightpremean	unweightpostmean	prestd	poststd	diff	ttest	pval
uc1.$b119860	Bradbury, Ray	The illustrated man.	1951	0.391277493273	0.650464675622	0.391531968588	0.678586089592	0.138435557643	0.197003163825	0.259187182349	-6.51401551941	1.85359389065e-07
uc1.$b302067	Morton, H. V. (Henry Vollam)	I, James Blunt, | $c: by H.V. Morton.	1942	0.215921070335	0.0170960016626	0.200902341191	0.0151534320836	0.0775243057644	0.0238470867791	-0.198825068673	10.6882488693	7.39173686702e-12
uc1.$b312023	Romains, Jules	Tussles with time. | $c: Translated by Gerard Hopkins.	1952	0.817146745934	0.830305121317	0.838633852616	0.854165291307	0.140781885977	0.160211326368	0.0131583753834	-0.400668039639	0.691072685276
uc1.$b348189	Conklin, Groff	The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr.	1946	0.94671251343	0.975367937707	0.960360046002	0.983948428023	0.0530769041462	0.0303230739631	0.0286554242774	-3.56980048056	0.000487637074891
uc1.$b401402	Caidin, Martin	Marooned, | a novel.	1964	0.974197209538	0.981418323826	0.981468189076	0.984840172008	0.0270320847509	0.0309883451564	0.00722111428769	-0.442333063596	0.661129221756
uc1.$b57115	Noyes, Alfred	No other man	1940	0.952584406349	0.793798696679	0.966348062224	0.794350578491	0.0449117728166	0.164775641166	-0.15878570967	5.23745882713	1.4922787367e-05
uc1.$b601378	Haines, William Wister	Command decision, | $c: by William Wister Haines ...	1947	0.383948878811	0.533799038566	0.377287593642	0.533358559611	0.232169586972	0.26719966498	0.149850159755	-2.68628119617	0.00972478185892
uc1.$b785374	Joseph, M. K	The hole in the zero:	1967	0.810984105081	0.93532050023	0.825507301988	0.952637659315	0.163431329203	0.0756688448629	0.124336395149	-4.86900322272	5.25103748673e-06
uc1.$b799823	Hough, Donald	The camelephamoose | $c: [by] Donald Hough.	1946	0.200232247295	0.684046138034	0.193600363775	0.704336379852	0.152828289707	0.156745118554	0.483813890739	-12.4275145992	1.12252287219e-13
uc1.$b86033	Bond, Nelson Slade	Mr. Mergenthwirker's lobblies and other fantastic tales	1946	0.602158486297	0.873085927066	0.627639287296	0.899893302321	0.135768625884	0.0978542530257	0.270927440769	-9.67902396975	7.73235057956e-13
uc1.32106001693032	nan	The Astounding science fiction anthology, | $c: selected and with an introduction by John W. Campbell, jr.	1952	0.861284747372	0.963758269228	0.887766126813	0.97416448951	0.0903022065747	0.0406335522481	0.102473521856	-7.08856444565	1.51153713389e-10
uc1.32106002091640	Bradbury, Ray	The golden apples of the sun. | $c: Drawings by Joe Mugnaini.	1953	0.151508460745	0.344845285577	0.12171896663	0.342263619299	0.100490626255	0.271112039761	0.193336824833	-3.55613322909	0.00177903276166
uc1.32106002114343	Heinlein, Robert A. (Robert Anson)	Farnham's freehold; | $c: a novel by Robert A. Heinlein.	1964	0.178898273289	0.751619851195	0.163991546672	0.760927677233	0.123107937789	0.212100965065	0.572721577905	-11.6518851609	3.43913310565e-11
uc1.32106009743425	Heinlein, Robert A. (Robert Anson)	Red planet	1949	0.300269264423	0.820080716333	0.295856705708	0.857376093068	0.199478694193	0.154861555912	0.519811451911	-14.051933979	4.29295163325e-21
uc1.32106014483108	Leiber, Fritz	The big time	1958	0.50324703406	0.88162824086	0.520645042056	0.898712478681	0.165327400973	0.0955378315789	0.3783812068	-9.46801736351	6.03313569424e-12
uc1.32106015120998	Sturgeon, Theodore	The complete stories of Theodore Sturgeon	1956	0.560373031897	0.867473246189	0.568748747523	0.895427541706	0.342968723962	0.143381490222	0.307100214292	-7.50892413377	9.8877407303e-12
uc1.32106015121020	Sturgeon, Theodore	The complete stories of Theodore Sturgeon	1952	0.63368050271	0.871418132106	0.645401160472	0.89010049687	0.266705402326	0.146610138425	0.237737629396	-6.28526530779	9.99550409295e-09
uc1.b2838670	Clement, Hal	Small changes	1969	0.976273327753	0.996254640767	0.983433481548	0.997739302042	0.0245395654501	0.00486456592232	0.0199813130142	-4.23891237209	6.68095614027e-05
uc1.b2849235	Tenn, William	Of men and monsters | $c: [by] William Tenn.	1968	0.897529824307	0.948637001966	0.918495680063	0.963437171991	0.081464873533	0.0538174758066	0.0511071776597	-2.9106153926	0.00498377946514
uc1.b3184273	Smith, E. E. (Edward Elmer)	Triplanetary : a tale of cosmic adventure	1948	0.966369150784	0.992165822567	0.974958582979	0.994706375168	0.0363117742979	0.0112724483954	0.0257966717835	-3.75602205971	0.000327872088288
uc1.b3347098	Shafer, Robert Jones	The conquered place.	1954	0.140091077873	0.209455251012	0.120454685959	0.18264771276	0.088475639774	0.151433626088	0.0693641731388	-2.49519786087	0.0154774933698
uc1.b3435509	Christopher, John	The world in winter	1962	0.341272086776	0.59388626801	0.339926910439	0.588517761892	0.296839611332	0.322409907637	0.252614181234	-3.03909405707	0.00467948943604
uc1.b3467600	Tucker, Wilson	The long loud silence.	1952	0.828745847044	0.624679248756	0.850137810622	0.644871410086	0.12890070115	0.175969739684	-0.204066598289	4.89819610032	3.25627044056e-05
uc1.b3473021	Harrison, Harry	Best SF: 1968. | $c: Edited by Harry Harrison and Brian W. Aldiss.	1969	0.754667203541	0.923406385782	0.781498153167	0.949701476254	0.110126894629	0.0831901626606	0.168739182241	-7.27131145377	2.6290959194e-09
uc1.b3541070	Conklin, Groff	The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr.	1946	0.947111586142	0.976759008476	0.96067343113	0.985581215469	0.052863262741	0.0310233912893	0.029647422334	-3.81027546708	0.000201272187196
uc1.b3545502	Merril, Judith	Beyond the barriers of space and time.	1954	0.605136824022	0.827278364682	0.626134252676	0.85773491464	0.142075490078	0.146793134872	0.222141540659	-6.02782773452	1.09503011582e-06
uc1.b4082361	White, T. H	The master : | an adventure story	1957	0.647104041042	0.902753929904	0.674584971692	0.929886607285	0.146132613928	0.115108972918	0.255649888862	-8.3357383525	3.33803791463e-11
uc1.b4094480	Wyndham, John	The Midwich cuckoos, | $c: by John Wyndham.	1957	0.853182571051	0.934744920033	0.884500864263	0.940923653234	0.107305272913	0.0798961789441	0.0815623489823	-2.71595733913	0.00835557188864
uc1.b4094525	Heinlein, Robert A. (Robert Anson)	The man who sold the moon ; | Harriman and the escape from Earth to the Moon!	1950	0.650336351519	0.949630868393	0.666253054112	0.962560772902	0.266256326417	0.0488487249549	0.299294516874	-8.23921861787	8.50493500947e-12
uc1.b4095618	Hoyle, Fred, Sir	Fifth planet	1963	0.884394613464	0.958100518374	0.904566736165	0.964601844677	0.0995469735972	0.0519257941406	0.0737059049108	-3.36790939051	0.00134396415354
uc1.b4562654	Healy, Raymond J	Adventures in time and space, | an anthology of modern science-fiction stories, | $c: edited by Raymond J. Healy and J. Francis McComas.	1946	0.945830517736	0.985747922156	0.960381797054	0.99029330229	0.045701929873	0.0169093603732	0.0399174044206	-5.94913064384	1.78483637427e-08
uc1.b4931266	Laumer, Keith	Earthblood | $c: by Keith Laumer and Rosel George Brown.	1966	0.770165545753	0.931588183829	0.803960178511	0.944572670737	0.141772573852	0.0565304431934	0.161422638076	-6.1156061237	5.08819048321e-08
