docid	htid	totaltokens	skipped_pages	path
uc2.ark+=13960=t83j39v3z_0	uc2.ark+=13960=t83j39v3z	40635	0	../data/uc2.ark+=13960=t83j39v3z_0.tsv
uc2.ark+=13960=t83j39v3z_1	uc2.ark+=13960=t83j39v3z	40953	0	../data/uc2.ark+=13960=t83j39v3z_1.tsv
uc2.ark+=13960=t5bc3wr6q_0	uc2.ark+=13960=t5bc3wr6q	54330	0	../data/uc2.ark+=13960=t5bc3wr6q_0.tsv
uc2.ark+=13960=t5bc3wr6q_1	uc2.ark+=13960=t5bc3wr6q	57686	0	../data/uc2.ark+=13960=t5bc3wr6q_1.tsv
inu.30000007708815_0	inu.30000007708815	77258	0	../data/inu.30000007708815_0.tsv
inu.30000007708815_1	inu.30000007708815	80125	0	../data/inu.30000007708815_1.tsv
inu.30000007708815_2	inu.30000007708815	80898	0	../data/inu.30000007708815_2.tsv
mdp.39015030307881_0	mdp.39015030307881	62006	0	../data/mdp.39015030307881_0.tsv
mdp.39015030307881_1	mdp.39015030307881	62344	0	../data/mdp.39015030307881_1.tsv
mdp.39015030307881_2	mdp.39015030307881	61767	0	../data/mdp.39015030307881_2.tsv
uc2.ark+=13960=t8z89353s_0	uc2.ark+=13960=t8z89353s	41933	0	../data/uc2.ark+=13960=t8z89353s_0.tsv
uc2.ark+=13960=t8z89353s_1	uc2.ark+=13960=t8z89353s	41943	0	../data/uc2.ark+=13960=t8z89353s_1.tsv
nyp.33433074954748_0	nyp.33433074954748	107624	0	../data/nyp.33433074954748_0.tsv
nyp.33433074954748_1	nyp.33433074954748	106030	0	../data/nyp.33433074954748_1.tsv
nyp.33433074954748_2	nyp.33433074954748	106113	0	../data/nyp.33433074954748_2.tsv
nyp.33433074954748_3	nyp.33433074954748	107132	0	../data/nyp.33433074954748_3.tsv
nyp.33433074875745	nyp.33433074875745	48431	0	../data/nyp.33433074875745.tsv
dul1.ark+=13960=t50g4f66g_0	dul1.ark+=13960=t50g4f66g	71194	0	../data/dul1.ark+=13960=t50g4f66g_0.tsv
