docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title
uiuo.ark+=13960=t2697r439_1,uiuo.ark+=13960=t2697r439,32054,random,"Maitland, Edward,",,London;Richard Bentley and Son;1873.,1873,1873,v.2,Utopias;Fiction,,By and by
uiuo.ark+=13960=t9m33fg91,uiuo.ark+=13960=t9m33fg91,52094,random,"Riddell, J. H.,",,London;Tinsley Brothers;1874.,1874,1874,v.1,,,"Frank Sinclair's wife, and other stories"
uc2.ark+=13960=t8v98249v,uc2.ark+=13960=t8v98249v,52442,random,"Townsend, Virginia Frances,",,Boston;Lee and Shepard;1874.,1874,1874,,,,Only Girls
njp.32101067523173_0,njp.32101067523173,37388,random,"Fabre, Ferdinand,",,New York;J. B. Ford & company;1875.,1875,1875,,,,The abbé Tigrane
njp.32101067523173_1,njp.32101067523173,36358,random,"Fabre, Ferdinand,",,New York;J. B. Ford & company;1875.,1875,1875,,,,The abbé Tigrane
nyp.33433074951751_0,nyp.33433074951751,34287,random,"Dasent, George Webbe,",,London;Chapman & Hall;1875.,1875,1875,v. 1,Vikings;Fiction,,The vikings of the Baltic;
nyp.33433074951751_1,nyp.33433074951751,33490,random,"Dasent, George Webbe,",,London;Chapman & Hall;1875.,1875,1875,v. 1,Vikings;Fiction,,The vikings of the Baltic;
nyp.33433075764377_0,nyp.33433075764377,57950,random,"Warriner, Edward A.",,Boston;Roberts Brothers;1875.,1875,1875,,,,Victor La Tourette
nyp.33433075764377_1,nyp.33433075764377,56632,random,"Warriner, Edward A.",,Boston;Roberts Brothers;1875.,1875,1875,,,,Victor La Tourette
wu.89032371593,wu.89032371593,58677,random,"Potter, F[rederick] Scarlett,",,"London;Society for promoting Christian knowledge;New York;Pott, Young, & co.;1876",1876,1876,,Norway;History,,"Heroes of the North; or, Stories from Norwegian chronicle"
mdp.39076005029983_0,mdp.39076005029983,47649,random,"Trollope, Anthony,",,Philadelphia;Gebbie;1900-1902.,1900,1877,v.1,,,The writings of Anthony Trollope
mdp.39076005029983_1,mdp.39076005029983,51480,random,"Trollope, Anthony,",,Philadelphia;Gebbie;1900-1902.,1900,1877,v.1,,,The writings of Anthony Trollope
uc1.b3327243_0,uc1.b3327243,87762,random,"Wood, Henry,",,London;R. Bentley;1877-1882.,1877,1877,v. 18,,,Mrs. Wood's novels
uc1.b3327243_1,uc1.b3327243,87021,random,"Wood, Henry,",,London;R. Bentley;1877-1882.,1877,1877,v. 18,,,Mrs. Wood's novels
uc1.b3327243_2,uc1.b3327243,85785,random,"Wood, Henry,",,London;R. Bentley;1877-1882.,1877,1877,v. 18,,,Mrs. Wood's novels
uc2.ark+=13960=t7vm48663,uc2.ark+=13960=t7vm48663,49912,random,"Russell, William Clark,",,"London;S. Low, Marston, Searle, and Rivington;1877.",1877,1877,v.0003,,,"The wreck of the ""Grosvenor"""
uc2.ark+=13960=t8nc5th3p_0,uc2.ark+=13960=t8nc5th3p,29911,random,"James, Henry,",,New York;Harper & brothers;1892.,1892,1879,,,,Daisy Miller & An international episode
uc2.ark+=13960=t8nc5th3p_1,uc2.ark+=13960=t8nc5th3p,32008,random,"James, Henry,",,New York;Harper & brothers;1892.,1892,1879,,,,Daisy Miller & An international episode
uc1.32106006504143_0,uc1.32106006504143,57960,random,"Eliot, George,",,Edinburgh;W. Blackwood;1884?,1884,1879,v.2,,,Works
uc1.32106006504143_1,uc1.32106006504143,59533,random,"Eliot, George,",,Edinburgh;W. Blackwood;1884?,1884,1879,v.2,,,Works
uiuo.ark+=13960=t1hh75x0q_0,uiuo.ark+=13960=t1hh75x0q,32150,random,Queen.,,London;Hurst and Blackett;1880.,1880,1880,v.3,,,A Sylvan queen
uiuo.ark+=13960=t1hh75x0q_1,uiuo.ark+=13960=t1hh75x0q,38145,random,Queen.,,London;Hurst and Blackett;1880.,1880,1880,v.3,,,A Sylvan queen
