"docid","recordid","oclc","locnum","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title","tags"
"nyp.33433076053945",169178,7518534,,"Rickert, Edith,",,"Boston;New York;Houghton, Mifflin and company;1904.",1904,1904,"mau",,,,"The reaper","random"
"nnc1.1002220970",8404957,7570923,,"Shelton, W. H.",,"New York;A. S. Barnes & company;1904.",1904,1904,"nyu",,,,"The three prisoners","random"
"uc1.32106000737244",7122942,254355726,,"Voth, H. R.",,"Chicago;1905.",1905,1905,"   ","v.8","Legends;Hopi Indians",,"The traditions of the Hopi","random"
"uc2.ark+=13960=fk22b8vg5s",6151251,214855577,,"Poole, Ernest,",,"New York;A.S. Barnes;1906.",1906,1906,"nyu",,,,"The voice of the street","random"
"nyp.33433076054299",7648942,3473429,,"Osbourne, Lloyd,",,"New York;D. Appleton and company;1906.",1906,1906,"nyu",,,,"Three speeds forward;","random"
"uc1.b3325103",6131468,3097711,"PZ3.S8497P","Stewart, Charles D.",,"New York;The Century company;1907.",1907,1907,"nyu",,,,"Partners of Providence","random"
"nyp.33433082530332",8654770,3676036,,"Fenn, George Manville,",,"London;W. & R. Chambers;Philadelphia;J.B. Lippincott;1907.",1907,1907,"xx ",,,,"Trapped by Malays","random"
"uc2.ark+=13960=t1kh0f79c",7659539,3130483,"PZ3.O12L","Hall, Eliza Calvert.",,"Boston;Little, Brown & Company;1909.",1909,1909,"mau",,,,"The land of long ago","random"
"mdp.39015011029546",1239438,498631,"DR432.B7","Vaka, Demetra,",,"Boston and New York;Houghton Mifflin company;1909.",1909,1909,"xx ",,,,"Haremlik; some pages from the life of Turkish women","random"
"uc1.31822038207411",10824450,4110323,,"Webster, Frank V",,"New York;Cupples & Leon Co.;c1909",1909,1909,"nyu",,,,"Two boy gold miners, or, Lost in the mountains","random"
"mdp.39015058659890",1328690,67306057,,"Dutt, Romesh Chunder,",,"London;T. Fisher Unwin;1909.",1909,1909,"enk",,,,"The slave girl of Agra;","random"
"nyp.33433082349402",8660712,37018805,,"Otis, James,",,"Boston;L.C. Page & Co.;1910",1910,1910,"mau",,"Children's stories, American",,"The wreck of the ""Ocean Queen""","random|juv"
"njp.32101069166427",8978449,4348434,"PS1764.G29L6 1911","Greene, Sarah Pratt McLean,",,"New York;The Baker & Taylor Company;1911.",1911,1911,"nyu",,,,"The long green road","random"
"nyp.33433074807763",8659516,15986041,,"Fenn, Robert.",,"New York;Dodd, Mead and Company;1911.",1911,1911,"nyu",,,,"The hidden empire","random"
"nyp.33433074840467",8659172,26250619,,"Dale, Mary.",,"New York;The Bookery Publishing Co.;c1912.",1912,1912,"nyu",,"American fiction",,"Bottled sunshine","random"
"uc1.32106014703109",1028306,830711,"PS3505.A87A7","Cather, Willa,",,"Boston;New York;H. Mifflin;1912.",1912,1912,"mau",,,,"Alexander's bridge","random"
"uc2.ark+=13960=t3610xt8m",7665314,5910918,"PZ3.M1956L4","Mackellar, Dorothea.",,"London;A. Rivers, ltd.;1912.",1912,1912,"enk",,,,"The little blue devil","random"
"wu.89004698288",11986010,35802812,,"Hamilton, Mary Agnes,",,"Boston;New York;Houghton, Mifflin Company;1912.",1912,1912,"mau",,,,"Less than the dust","random"
"uc1.b3324205",6130830,4839101,,"Cullum, Ridgwell,",,"New York;A. L. Burt;c1913",1913,1913,"nyu",,,,"The night-riders;","random"
"uc2.ark+=13960=t5k933416",5798610,5396162,"PZ3.O23",,,"London;Macmillan and co., limited;1913.",1913,1913,"enk",,,,"The odd farmhouse","random"
"njp.32101064919622",7666844,2454609,,"Mayor, F. M.",,"London;Sidgwick & Jackson;1913.",1913,1913,"enk",,,,"The third Miss Symons","random"
"uva.x030832515",9776082,4090510,"PZ3.P835F4","Henry, O.,",,"Garden City, N.Y.;Doubleday, Page;1916",1914,1914,"nyu","v.2",,,"The four million","random"
"uc2.ark+=13960=t1ng4jj41",7675604,7288197,"PZ7.F888S","Warner, Anne,",,"Boston;Little, Brown, and company;1914.",1914,1914,"mau",,,,"Sunshine Jane","random"
"nyp.33433082346028",8662374,37045008,,"Lee, Alice Louise,",,"Philadelphia;The Penn Publishing Company;1914.",1914,1914,"pau",,,,"A freshman co-ed","random"
"nyp.33433076063985",8690279,11775485,"PS3537.U5275G6 1914","Sullivan, Margaret Davies.",,"New York;G.W. Dillingham Company;c1914.",1914,1914,"nyu",,,,"Goddess of the dawn","random"
"nyp.33433074896212",8666279,2611498,"PZ3.M2246W","MacLeod, Anna Mary.",,"Lynchburg, Va.;J.P. Bell;1915.",1915,1915,"vau",,"Virginia;Social life and customs;Fiction",,"The Washington Randolphs and their friends;","random"
"uc2.ark+=13960=t8pc2vj1r",1229950,6128771,"PZ1.B43M","Benecke, Else C. M.",,"Oxford;B. H. Blackwell;1916.",1916,1916,"enk",,"Polish fiction;Translations from Polish;Translations into English;English fiction",,"More tales by Polish authors","random"
"uc2.ark+=13960=t2q52gh2t",7674088,11560969,,"Stellman, Edith Kinney.",,"San Francisco;H.S. Crocker Co.;c1917",1917,1917,"cau",,,,"Katie of birdland;","random|juv"
"loc.ark+=13960=t21c29j9f",9604041,13554128,"F542.F6","Fletcher, Mabel Elizabeth Billings,",,"New York;The Macmillan Company;1917.",1917,1917,"nyu",,"Frontier and pioneer life;Illinois",,"Old settler stories","random"
"mdp.39076002604416",9929306,8165297,,"Fraser, Chelsea Curtis,",,"New York;Thomas Y. Crowell;c1918.",1918,1918,"nyu",,"Boys;Hiking;Friendship in youth;Juvenile fiction",,"The Boy hikers, or, Doing their bit for Uncle Sam","random|juv"
"nyp.33433074801238",8657254,7874935,"PZ3.B1594Wh","Baily, Waldron,",,"New York;Bedford;1918.",1918,1918,"nyu",,,,"When the cock crows","random"
"nyp.33433074811625",8659892,4631232,"PZ3.D3706Ps","DeLand, Charles Edmund,",,"Boston;Richard G. Badger;c1919;([Boston, U.S.A.;The Gorham Press)",1919,1919,"mau",,,,"The psychic trio, or, Nations reconciled","random"
"njp.32101064628942",9408892,5078581,"PZ3.S543Al","Sheldon, Charles M.,",,"New York;George H. Doran Company;c1919.",1919,1919,"nyu",,,,"All the world","random"
"njp.32101068169224",205362,612704,"PZ3.F957Be","Fuller, Henry Blake,",,"Chicago;R. F. Seymour;1919.",1919,1919,"ilu",,,,"Bertram Cope's year","random"
"wu.89007380389",5974512,547628,"PZ7.S16Mis","Sampson, Mrs. Emma (Speed)",,"Chicago;The Reilly & Lee co.;c1920",1920,1920,"xx ",,,,"Miss Minerva's baby","random"
"uc2.ark+=13960=t3pv6d04m",7671832,11467010,"PZ3.S648Ag","Smith, Harriet L.",,"Indianapolis;The Bobbs-Merrill Company;c1920",1920,1920,"inu",,,,"Agatha's aunt","random"
"uc2.ark+=13960=t45q4v56p",160289,1824097,"PZ3.L796Ho","Locke, William John,",,"New York;John Lane company;London;John Lane; [etc., etc.;1920.",1920,1920,"nyu",,,,"The house of Baltazar","random"
